GENERATION_PROJECT,build_year,gen_overnight_cost,gen_fixed_om
Anhui-Central_PV-2022,2022,642662.46,9639.9369
Anhui-Coal-2022,2022,526267.805,9999.088295
Anhui-Gas-2022,2022,669180.897,16060.341528
Anhui-Hydro_Nonpumped-2022,2022,1133648.446,17004.72669
Anhui-Nuclear-2022,2022,1954433.096,39088.66192
Anhui-PV-2022,2022,642662.46,9639.9369
Anhui-Wind-2022,2022,993632.241,14904.48362
Beijing-Central_PV-2022,2022,642662.46,9639.9369
Beijing-Coal-2022,2022,526267.805,9999.088295
Beijing-Gas-2022,2022,669180.897,16060.341528
Beijing-Hydro_Nonpumped-2022,2022,1133648.446,17004.72669
Beijing-Nuclear-2022,2022,1954433.096,39088.66192
Beijing-PV-2022,2022,642662.46,9639.9369
Beijing-Wind-2022,2022,993632.241,14904.48362
Chongqing-Central_PV-2022,2022,642662.46,9639.9369
Chongqing-Coal-2022,2022,526267.805,9999.088295
Chongqing-Gas-2022,2022,669180.897,16060.341528
Chongqing-Hydro_Nonpumped-2022,2022,1133648.446,17004.72669
Chongqing-Nuclear-2022,2022,1954433.096,39088.66192
Chongqing-PV-2022,2022,642662.46,9639.9369
Chongqing-Wind-2022,2022,993632.241,14904.48362
East_Inner_Mongolia-Central_PV-2022,2022,642662.46,9639.9369
East_Inner_Mongolia-Coal-2022,2022,526267.805,9999.088295
East_Inner_Mongolia-Gas-2022,2022,669180.897,16060.341528
East_Inner_Mongolia-Hydro_Nonpumped-2022,2022,1133648.446,17004.72669
East_Inner_Mongolia-Nuclear-2022,2022,1954433.096,39088.66192
East_Inner_Mongolia-PV-2022,2022,642662.46,9639.9369
East_Inner_Mongolia-Wind-2022,2022,993632.241,14904.48362
Fujian-Central_PV-2022,2022,642662.46,9639.9369
Fujian-Coal-2022,2022,526267.805,9999.088295
Fujian-Gas-2022,2022,669180.897,16060.341528
Fujian-Hydro_Nonpumped-2022,2022,1133648.446,17004.72669
Fujian-Nuclear-2022,2022,1954433.096,39088.66192
Fujian-PV-2022,2022,642662.46,9639.9369
Fujian-Wind-2022,2022,993632.241,14904.48362
Gansu-Central_PV-2022,2022,642662.46,9639.9369
Gansu-Coal-2022,2022,526267.805,9999.088295
Gansu-Gas-2022,2022,669180.897,16060.341528
Gansu-Hydro_Nonpumped-2022,2022,1133648.446,17004.72669
Gansu-Nuclear-2022,2022,1954433.096,39088.66192
Gansu-PV-2022,2022,642662.46,9639.9369
Gansu-Wind-2022,2022,993632.241,14904.48362
Guangdong-Central_PV-2022,2022,642662.46,9639.9369
Guangdong-Coal-2022,2022,526267.805,9999.088295
Guangdong-Gas-2022,2022,669180.897,16060.341528
Guangdong-Hydro_Nonpumped-2022,2022,1133648.446,17004.72669
Guangdong-Nuclear-2022,2022,1954433.096,39088.66192
Guangdong-PV-2022,2022,642662.46,9639.9369
Guangdong-Wind-2022,2022,993632.241,14904.48362
Guangxi-Central_PV-2022,2022,642662.46,9639.9369
Guangxi-Coal-2022,2022,526267.805,9999.088295
Guangxi-Gas-2022,2022,669180.897,16060.341528
Guangxi-Hydro_Nonpumped-2022,2022,1133648.446,17004.72669
Guangxi-Nuclear-2022,2022,1954433.096,39088.66192
Guangxi-PV-2022,2022,642662.46,9639.9369
Guangxi-Wind-2022,2022,993632.241,14904.48362
Guizhou-Central_PV-2022,2022,642662.46,9639.9369
Guizhou-Coal-2022,2022,526267.805,9999.088295
Guizhou-Gas-2022,2022,669180.897,16060.341528
Guizhou-Hydro_Nonpumped-2022,2022,1133648.446,17004.72669
Guizhou-Nuclear-2022,2022,1954433.096,39088.66192
Guizhou-PV-2022,2022,642662.46,9639.9369
Guizhou-Wind-2022,2022,993632.241,14904.48362
Hainan-Central_PV-2022,2022,642662.46,9639.9369
Hainan-Coal-2022,2022,526267.805,9999.088295
Hainan-Gas-2022,2022,669180.897,16060.341528
Hainan-Hydro_Nonpumped-2022,2022,1133648.446,17004.72669
Hainan-Nuclear-2022,2022,1954433.096,39088.66192
Hainan-PV-2022,2022,642662.46,9639.9369
Hainan-Wind-2022,2022,993632.241,14904.48362
Hebei-Central_PV-2022,2022,642662.46,9639.9369
Hebei-Coal-2022,2022,526267.805,9999.088295
Hebei-Gas-2022,2022,669180.897,16060.341528
Hebei-Hydro_Nonpumped-2022,2022,1133648.446,17004.72669
Hebei-Nuclear-2022,2022,1954433.096,39088.66192
Hebei-PV-2022,2022,642662.46,9639.9369
Hebei-Wind-2022,2022,993632.241,14904.48362
Heilongjiang-Central_PV-2022,2022,642662.46,9639.9369
Heilongjiang-Coal-2022,2022,526267.805,9999.088295
Heilongjiang-Gas-2022,2022,669180.897,16060.341528
Heilongjiang-Hydro_Nonpumped-2022,2022,1133648.446,17004.72669
Heilongjiang-Nuclear-2022,2022,1954433.096,39088.66192
Heilongjiang-PV-2022,2022,642662.46,9639.9369
Heilongjiang-Wind-2022,2022,993632.241,14904.48362
Henan-Central_PV-2022,2022,642662.46,9639.9369
Henan-Coal-2022,2022,526267.805,9999.088295
Henan-Gas-2022,2022,669180.897,16060.341528
Henan-Hydro_Nonpumped-2022,2022,1133648.446,17004.72669
Henan-Nuclear-2022,2022,1954433.096,39088.66192
Henan-PV-2022,2022,642662.46,9639.9369
Henan-Wind-2022,2022,993632.241,14904.48362
Hubei-Central_PV-2022,2022,642662.46,9639.9369
Hubei-Coal-2022,2022,526267.805,9999.088295
Hubei-Gas-2022,2022,669180.897,16060.341528
Hubei-Hydro_Nonpumped-2022,2022,1133648.446,17004.72669
Hubei-Nuclear-2022,2022,1954433.096,39088.66192
Hubei-PV-2022,2022,642662.46,9639.9369
Hubei-Wind-2022,2022,993632.241,14904.48362
Hunan-Central_PV-2022,2022,642662.46,9639.9369
Hunan-Coal-2022,2022,526267.805,9999.088295
Hunan-Gas-2022,2022,669180.897,16060.341528
Hunan-Hydro_Nonpumped-2022,2022,1133648.446,17004.72669
Hunan-Nuclear-2022,2022,1954433.096,39088.66192
Hunan-PV-2022,2022,642662.46,9639.9369
Hunan-Wind-2022,2022,993632.241,14904.48362
Jiangsu-Central_PV-2022,2022,642662.46,9639.9369
Jiangsu-Coal-2022,2022,526267.805,9999.088295
Jiangsu-Gas-2022,2022,669180.897,16060.341528
Jiangsu-Hydro_Nonpumped-2022,2022,1133648.446,17004.72669
Jiangsu-Nuclear-2022,2022,1954433.096,39088.66192
Jiangsu-PV-2022,2022,642662.46,9639.9369
Jiangsu-Wind-2022,2022,993632.241,14904.48362
Jiangxi-Central_PV-2022,2022,642662.46,9639.9369
Jiangxi-Coal-2022,2022,526267.805,9999.088295
Jiangxi-Gas-2022,2022,669180.897,16060.341528
Jiangxi-Hydro_Nonpumped-2022,2022,1133648.446,17004.72669
Jiangxi-Nuclear-2022,2022,1954433.096,39088.66192
Jiangxi-PV-2022,2022,642662.46,9639.9369
Jiangxi-Wind-2022,2022,993632.241,14904.48362
Jilin-Central_PV-2022,2022,642662.46,9639.9369
Jilin-Coal-2022,2022,526267.805,9999.088295
Jilin-Gas-2022,2022,669180.897,16060.341528
Jilin-Hydro_Nonpumped-2022,2022,1133648.446,17004.72669
Jilin-Nuclear-2022,2022,1954433.096,39088.66192
